open,high,low,close,volume
6892.8,7103.87,6885.81,7013.07,299994212.11
7017.32,7180.85,6617.9,6776.08,435249092.53
6777.81,6882.09,6660.99,6835.72,300612333.59
6837.92,6980.48,6792.86,6949.44,318141782.91
6953.29,7981.79,6757.7,7921.28,703985479.24
7921.29,8223.9,7740.99,7869.97,717062284.67
7875.93,8178.44,7816.83,7997.6,472891266.06
7997.58,8412.89,7994.58,8352.71,430738400.61
8350.87,8406.34,7884.27,8062.37,519887896.35
8063.14,8164.0,7834.23,7887.29,456034174.55
7888.31,8224.8,7873.21,8169.46,412236388.83
8169.7,8292.54,8101.06,8273.73,432087265.06
8276.04,8919.35,8194.88,8857.38,577473100.58
8856.17,9030.15,8589.62,8915.7,597119511.77
8915.29,9018.71,8738.62,8792.24,487833879.07
8794.29,8981.29,8761.81,8942.41,452623880.34
8942.36,9729.68,8921.81,9636.35,702960797.14
9631.27,9751.1,8755.2,8867.3,1025900143.25
8870.21,9300.21,8659.8,9287.03,678065063.97
9275.72,9381.84,8901.25,8925.05,615236653.23
8922.73,9427.46,8875.03,9350.98,569210474.47
9350.05,9573.23,9170.17,9415.64,593685222.16
9417.11,9462.61,9128.2,9244.86,536130936.24
9246.96,9246.96,8822.64,9073.81,565279945.87
9073.2,9272.63,8213.71,9250.18,486415829.86
9250.31,9826.42,9168.63,9752.34,720254380.66
9751.91,9825.86,9540.36,9706.57,619167602.45
9713.03,9998.41,9689.74,9861.52,668359671.46
9871.54,9976.62,9437.89,9662.98,660802930.05
9661.61,9686.26,9196.59,9374.04,658930002.37
9370.67,9471.05,9072.26,9186.52,548067734.61
9188.32,9383.49,8975.6,9313.91,545192773.63
9316.24,9390.85,8993.3,9017.65,575474102.97
9016.17,9017.87,8345.45,8393.33,759345760.53
8394.2,8639.31,8141.52,8459.31,658449337.02
8459.31,8753.32,8303.78,8680.42,524822294.3
8679.01,8871.74,8290.82,8662.45,635971961.68
8662.63,8843.33,8420.08,8468.66,545197297.23
8467.96,8483.98,8090.82,8337.76,534267140.18
8334.71,8453.71,7998.08,8048.79,482823336.46
8048.79,8273.89,7917.61,8236.33,470207202.99
8236.13,8384.04,8127.54,8246.83,377683477.03
8243.56,8584.56,8168.33,8526.7,410957922.84
8526.94,8569.47,8316.01,8379.31,421239566.21
8379.79,8398.56,7406.26,7978.16,454244069.58
7978.17,8028.7,7432.93,7499.67,609946911.07
